Product ID,Product Name,Scientific Name,Category,Price (USD),Stock Quantity,Description,Usage,Region,Image URL
25,Moringa,Moringa oleifera,Herbal Plant,100,113,"Rich in nutrients,reduces cholestrol,anti-inflammatory","Powder,juice",Pan-India,https://wildroots.in/wp-content/uploads/2023/06/moringa1.jpg
26,Long Pepper,Piper longum,Herbal Plant,250,169,"Teats respiratory issues,digestive aid improves circulation ","powder,capsules",Pan-India,https://cdn.dotpe.in/longtail/store-items/8004307/q4dpih7q.jpeg
27,Cinnamon,Cinnamomum verum,Herbal Plant,400,173,"Improves digestion,anti-inflammatory,terats diabetes","Powder,Tea",Pan-India,"https://m.media-amazon.com/images/I/71m-tf5U2LL._AC_UF1000,1000_QL80_.jpg"
28,Shankhpushpi,Clerodendrum serratum,Herbal Plant,250,107,"Improves memory,reduces anxiety,treats epilepsy","Powder,Decoction",Pan-India,https://mybageecha.com/cdn/shop/files/ClitoriaTernatea-Aparajita.jpg?v=1684834920
29,Manjistha,Rubia cordifolia,Herbal Plant,250,39,"Detoxifies,improves skin health,reduces inflammation","Powder,paste",Pan-India,https://iafaforallergy.com/wp-content/uploads/2023/11/Manjistha-Rubia-cordifolia-1.jpg
30,Kadamba,Neolamarckia cadamba,Herbal Plant,100,192,"Treats fever,pain relef,reduces inflammation","Powder,Decoction",Eastern India,"https://m.media-amazon.com/images/I/61wxtx2VX7L._AC_UF1000,1000_QL80_.jpg"
31,Cumin,Cuminum cyminum,Herbal Plant,60,182,"Improves digestion,carminative,anti-inflammatory","Powder,Tea",Pan-India,https://www.marthastewart.com/thmb/wnrXveG3ngwflQqiWBCLVjT-_vQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ms-grow-cumin-getty-e19e11e455b943eb8bcca094de697b4d.jpg
32,Mint,Mentha piperita,Herbal Plant,60,139,"Relieves indigestion,bloating,and IBS;alleviates headaches and respiratory issues;antibacterial andantiviral properties","Tea,Oil","Native to Europe and Asia,Cultivated worldwide","https://m.media-amazon.com/images/I/61oeRRr9q+L._AC_UF1000,1000_QL80_.jpg"
33,Ginseng,Withania  somnifera,Herbal Plant,800,29,"Improves energy and stamina,supportsimmunity,reduces stress and enhance mental performance","Tea,Capsules,powders","Native to Korea,China and NorthAmerica","https://m.media-amazon.com/images/I/81IoXyrQ3VL._AC_UF1000,1000_QL80_.jpg"
34,Indian Pennywort,Centella Asiatica,Herbal Plant,250,101,"Improves memory,cognition and mental clarity,promotes wounds healing;support skin health,reduce anxiety and stress,anti-inflammable& antioxidant","Teas,Capsules,Oil","Native to India,southeast Asia and part of Africa","https://m.media-amazon.com/images/I/61jjcToVI3L._AC_UF1000,1000_QL80_.jpg"
35,Bael,Aegle marmelos,Herbal Plant,100,68,"Treats diarrhea,dysentry and constipation,anti-inflammatory,animicrobial,antidiabetic, boosts immunity,liver detox","powder,juice,tea",Native to India and Southeast Asia,https://previews.123rf.com/images/tharathiponsri/tharathiponsri1803/tharathiponsri180301095/97151063-bael-fruit-tree-the-fruit-has-medicinal-value-for-digestive-system.jpg
36,Fennel,Foeniculum vulgare,Herbal Plant,100,104,"Relieves indigestion,bloating,gas;promotes mil production in breasfeeding women ","Teas,oils,cooking spices","Native to Mediterranean,cultivated worldwide",https://mtseedbank.in/wp-content/uploads/2023/06/florence_fennel_flowers.jpeg
37,Chili Pepper,Capsicm annuum,Herbal Plant,80,167,"Pain relief,boosts metabolism,aids in weight loss,support heart health","Powder,Creams","Native to the Americas,groen worldwide",https://cdn.britannica.com/62/118162-050-56CC9480/cultivar-Thai-chili-peppers-fruits.jpg
38,Cardamom,Elettaria cardamomum,Herbal Plant,1200,133,"Relives digestive issues,support respiratory health,mood enhancing","Seeds used in baking,cooking and teas;oil for aromatherapy or massage",Native to India and Sri Lanka,https://images.meesho.com/images/products/436065265/4qikh_512.webp
39,Black Cohosh,Cimicifuga racemosa,Herbal Plant,2000,143,"Used for menopausal symptoms, hormonal imbalances, and to relieve hot flashes.","Tinctures, capsules, teas",North America,https://cdn11.bigcommerce.com/s-a9b4a/images/stencil/1280x1280/products/2560/6830/Black-Cohosh__66589.1667332663.jpg?c=2
40,Elderberry,Sambucus nigra,Herbal Plant,1000,78,"Used to treat flu, colds, and to boost immune function.","Syrups, extracts, teas","Europe, North America",https://upload.wikimedia.org/wikipedia/commons/a/a9/Sambucus-berries.jpg
41,Hawthorn,Crataegus monogyna,Herbal Plant,600,125,"Used for heart conditions, high blood pressure, and improving circulation.","Teas, extracts, capsules","Europe, North America",https://images-prod.healthline.com/hlcmsresource/images/AN_images/hawthorn-berry-benefits-1296x728-feature.jpg
42,Licorice Root,Glycyrrhiza glabra,Herbal Plant,350,150,"Used for sore throats, digestive issues, and as an anti-inflammatory.","Teas, extracts, lozenges","Europe, Asia",https://plantura.garden/uk/wp-content/uploads/sites/2/2021/09/liquorice.jpg
43,Red Clover,Trifolium pratense,Herbal Plant,250,181,"Used for menopausal symptoms, high cholesterol, and as a blood purifier.","Teas, capsules, extracts","Europe, North America",https://cdn.shopify.com/s/files/1/0506/7037/0997/articles/HerbalLibrary_Hero_RedClover_1400x1400_22800c41-b89a-412d-bd70-1583bef8a584.jpg?v=1668814060
44,Peppermint,Mentha × piperita,Herbal Plant,150,52,"Used for digestive issues like bloating, indigestion, and as a muscle relaxant.","Teas, oils, tinctures","Europe, North America",https://images.meesho.com/images/products/261846003/gp2rx_512.webp
45,Sage,Salvia officinalis,Herbal Plant,250,78,"Used for digestive health, memory enhancement, and as an antimicrobial.","Teas, oils, tinctures","Mediterranean, Europe",https://i.herbalreality.com/wp-content/uploads/2022/08/21123753/Salvia-miltiorrhiza-red-sage-full-plant-flowers.jpg
46,St. John's Wort,Hypericum perforatum,Herbal Plant,1500,21,"Used to treat mild depression, anxiety, and wounds.","Teas, extracts, oils","Europe, North America",https://www.verywellhealth.com/thmb/70hzKmDxPrGr_uAEOwej6rehC94=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-157187054-4977a44e7f444cb49afb0774e858ba01.jpg
47,Echinacea,Echinacea purpurea,Herbal Plant,800,47,Used to boost immune function and reduce the severity of cold and flu symptoms.,"Teas, capsules, tinctures","North America, Europe",https://www.verywellhealth.com/thmb/ldxNJ7hJ6fYzoQPWEezLCLvnsGg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/VWH-GettyImages-1333424994-2fe4941bcfbb487dbb2266f5923eafce.jpg
48,Burdock,Arctium lappa,Herbal Plant,250,199,"Used for detoxification, skin issues like acne, and as a diuretic.","Teas, extracts, capsules","Europe, Asia",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRv4uqxRPb8q6sQV_wNHCaCBpj0daYx6jHMg&s
49,Chamomile,Matricaria chamomilla,Herbal Plant,100,140,"Used for its calming effects, digestive support, and anti-inflammatory properties.","Teas, oils, extracts","Europe, North America",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLzDV9tWd_288IsV17nM9NS90zrYaenIfqYA&s
50,Lavender,Lavandula angustifolia,Herbal Plant,300,150,"Used for stress relief, insomnia, and anxiety.","Oils, teas, extracts","Europe, Mediterranean",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtg8QPKoLXMYFVfr1QfqkxaQ0Iba2LSZZNRQ&s
51,Marigold,Calendula officinalis,Herbal Plant,100,105,"Used for wound healing, skin infections, and inflammation.","Creams, teas, oils","Europe, North America","https://m.media-amazon.com/images/I/51IE0q6PxgL._AC_UF1000,1000_QL80_.jpg"
52,Milk Thistle,Silybum marianum,Herbal Plant,1000,133,"Used for liver detoxification, hepatitis, and improving liver function.","Capsules, extracts, teas","Europe, North America",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKvgEFAOHMAL6VOqN749tszTK0M6tLnLYjOg&s
53,Cranberry,Vaccinium macrocarpon,Herbal Plant,1500,135,Used for urinary tract infections and as a rich source of antioxidants.,"Juices, extracts, capsules","North America, Europe",https://i0.wp.com/tripplebrookfarm.com/wp-content/uploads/2020/11/3863421023_61486d1d44_o-scaled-jpg.webp?fit=1702%2C2560&ssl=1
54,Dandelion,Taraxacum officinale,Herbal Plant,100,30,"Used for liver detox, kidney health, and as a diuretic.","Teas, extracts, capsules","Europe, North America",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcO-5mgf8Md3gTFgNzsiXcClaGslbNJjSb6w&s
55,Yarrow,Achillea millefolium,Herbal Plant,250,136,"Used for wound healing, menstrual cramps, and digestive issues.","Teas, extracts, poultices","Europe, North America",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqz0zxuVChr2cuiFxK5Up5DA2YiUyFrR3r5Q&s
56,Slippery Elm,Ulmus rubra,Herbal Plant,800,88,"Used for sore throats, digestive issues, and as an anti-inflammatory.","Teas, lozenges, poultices",North America,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhbLKM4jOPEkaBDv39OhHakQp6mTE21inylg&s
57,Senna,Senna alexandrina,Herbal Plant,150,78,Used as a natural laxative for constipation relief.,"Teas, extracts, capsules","Africa, Asia",https://rukminim2.flixcart.com/image/850/1000/jzn0tjk0/plant-seed/n/5/z/25-hs155-shop-360-garden-original-imafjhgmhgchyyjf.jpeg?q=90&crop=false
58,Acacia,Acacia arabica,Herbal Plant,250,93,"Used for mouth ulcers, sore throat, and as an anti-inflammatory.","Decoction, Paste",All over India,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Acacia_greggii_thorns.jpg/1200px-Acacia_greggii_thorns.jpg
59,Marigold,Tagetes erecta,Herbal Plant,100,151,"Used for wound healing, skin infections, and as an anti-inflammatory.","Creams, Teas",All over India,"https://m.media-amazon.com/images/I/51hPWA0XS7S._AC_UF1000,1000_QL80_.jpg"
60,Arjuna,Terminalia arjuna,Herbal Plant,250,151,"Used for heart health, reducing cholesterol, and managing blood pressure.","Powder, Decoction, Capsules","India, especially in South",https://growbilliontrees.com/cdn/shop/articles/arjuna-tree-grow-billion-trees.jpg?v=1712737730
61,Curry Leaf,Murraya koenigii,Herbal Plant,150,150,"Used for diabetes, digestive health, and skin disorders.","Powder, Paste, Decoction",All over India,https://rukminim2.flixcart.com/image/850/1000/kge0n0w0/plant-sapling/t/5/g/curry-leaf-plant-hybrid-pack-of-1-1-biotech-gardening-original-imafwn64xjqh2qp5.jpeg?q=90&crop=false
62,Bittermelon,Momordica charantia,Herbal Plant,250,95,"Used for diabetes, digestive issues, and as an anti-inflammatory.","Juice, Capsules, Decoction",All over India,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSX5aHWXJR9zA4t0S6EOIjdLUJ_WwH5E3_ZgA&s
63,Coriander,Coriandrum sativum,Herbal Plant,100,121,"Used for digestive issues, detoxification, and as an antioxidant.","Powder, Teas, Oil",All over India,https://cdn-prod.medicalnewstoday.com/content/images/articles/277/277627/bunch-of-fresh-coriander-or-cilantro-on-a-wooden-table.jpg
64,Pomegranate,Punica granatum,Herbal Plant,100,156,"Used for heart health, digestion, and as an anti-inflammatory.","Juice, Powder, Extracts",All over India,https://www.apnikheti.com/upload/crops/131idea99pomegrarnate.jpg
65,Mustard,Brassica nigra,Herbal Plant,100,46,"Used for respiratory issues, muscle pain, and improving circulation.","Oil, Powder, Paste",All over India,https://rukminim2.flixcart.com/image/850/1000/jod7rm80/plant-seed/z/g/m/60-hybrid-live-green-original-imafaufpjkexqezv.jpeg?q=90&crop=false
